; Number of ROIs: 5
; File Dimension: 772 x 653
;
; ROI name: veg4
; ROI rgb value: {0, 255, 0}
; ROI npts: 1000
;
; ROI name: shadow4
; ROI rgb value: {109, 109, 109}
; ROI npts: 1000
;
; ROI name: water4
; ROI rgb value: {0, 255, 255}
; ROI npts: 1000
;
; ROI name: road4
; ROI rgb value: {255, 0, 0}
; ROI npts: 1000
;
; ROI name: building4
; ROI rgb value: {0, 0, 255}
; ROI npts: 1000
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4
;
 282,    1,  32.09572712,  118.79806407,  0.119000,  0.087200,  0.073800,  0.101200
 280,    1,  32.09572712,  118.79788441,  0.118500,  0.087100,  0.073900,  0.126600
 279,    1,  32.09572712,  118.79779458,  0.118500,  0.087100,  0.073900,  0.126600
 278,    1,  32.09572712,  118.79770475,  0.119300,  0.088800,  0.076900,  0.106800
 281,    1,  32.09572712,  118.79797424,  0.118400,  0.089700,  0.073100,  0.120500
 278,    2,  32.09563729,  118.79770475,  0.116300,  0.087000,  0.070600,  0.096800
 279,    2,  32.09563729,  118.79779458,  0.116900,  0.088000,  0.073000,  0.117400
 280,    2,  32.09563729,  118.79788441,  0.116900,  0.088000,  0.073000,  0.117400
 281,    2,  32.09563729,  118.79797424,  0.115400,  0.087000,  0.072800,  0.108200
 282,    2,  32.09563729,  118.79806407,  0.117500,  0.086400,  0.073500,  0.093700
 279,    3,  32.09554746,  118.79779458,  0.114600,  0.083700,  0.065500,  0.087200
 278,    3,  32.09554746,  118.79770475,  0.113700,  0.081000,  0.064100,  0.074500
 282,    3,  32.09554746,  118.79806407,  0.114900,  0.085500,  0.067400,  0.088500
 280,    3,  32.09554746,  118.79788441,  0.114600,  0.083700,  0.065500,  0.087200
 281,    3,  32.09554746,  118.79797424,  0.112500,  0.085300,  0.066400,  0.086400
 278,    4,  32.09545763,  118.79770475,  0.114500,  0.080400,  0.064400,  0.069600
 279,    4,  32.09545763,  118.79779458,  0.112300,  0.079400,  0.063600,  0.073600
 280,    4,  32.09545763,  118.79788441,  0.112000,  0.082200,  0.062600,  0.072900
 281,    4,  32.09545763,  118.79797424,  0.112000,  0.082200,  0.062600,  0.072900
 282,    4,  32.09545763,  118.79806407,  0.113800,  0.082100,  0.065800,  0.079300
 282,    5,  32.09536780,  118.79806407,  0.114400,  0.083000,  0.066100,  0.080900
 278,    5,  32.09536780,  118.79770475,  0.113200,  0.082000,  0.064000,  0.071400
 279,    5,  32.09536780,  118.79779458,  0.112900,  0.079700,  0.064700,  0.080600
 280,    5,  32.09536780,  118.79788441,  0.113400,  0.079700,  0.064200,  0.082400
 281,    5,  32.09536780,  118.79797424,  0.113400,  0.079700,  0.064200,  0.082400
 766,    7,  32.09518813,  118.84154253,  0.111300,  0.087100,  0.063000,  0.181400
 765,    7,  32.09518813,  118.84145270,  0.109900,  0.086400,  0.062900,  0.184700
 767,    7,  32.09518813,  118.84163237,  0.111300,  0.087100,  0.063000,  0.181400
 768,    7,  32.09518813,  118.84172220,  0.113300,  0.086600,  0.064900,  0.187800
 764,    7,  32.09518813,  118.84136287,  0.113000,  0.085700,  0.064500,  0.164100
 765,    8,  32.09509830,  118.84145270,  0.111000,  0.085200,  0.061600,  0.181100
 766,    8,  32.09509830,  118.84154253,  0.112400,  0.084100,  0.061600,  0.174200
 767,    8,  32.09509830,  118.84163237,  0.112400,  0.084100,  0.061600,  0.174200
 768,    8,  32.09509830,  118.84172220,  0.112600,  0.085800,  0.064100,  0.189300
 764,    8,  32.09509830,  118.84136287,  0.112000,  0.085400,  0.062800,  0.177700
 766,    9,  32.09500847,  118.84154253,  0.114100,  0.085600,  0.063100,  0.178800
 767,    9,  32.09500847,  118.84163237,  0.114100,  0.085600,  0.063100,  0.178800
 764,    9,  32.09500847,  118.84136287,  0.112300,  0.088900,  0.064700,  0.188500
 768,    9,  32.09500847,  118.84172220,  0.113300,  0.087200,  0.064400,  0.187300
 765,    9,  32.09500847,  118.84145270,  0.113400,  0.087800,  0.065200,  0.195300
 767,   10,  32.09491864,  118.84163237,  0.114700,  0.088600,  0.063900,  0.183200
 765,   10,  32.09491864,  118.84145270,  0.114700,  0.088500,  0.067600,  0.196500
 768,   10,  32.09491864,  118.84172220,  0.114700,  0.088600,  0.063900,  0.183200
 766,   10,  32.09491864,  118.84154253,  0.114000,  0.085400,  0.065000,  0.165500
 764,   10,  32.09491864,  118.84136287,  0.113400,  0.086800,  0.064800,  0.189300
 765,   11,  32.09482881,  118.84145270,  0.115900,  0.091500,  0.072700,  0.193800
